#GeneID	tax_id	Symbol	Synonyms	chromosome	type_of_gene	description
1	9606	A1BG	A1B|ABG|GAB|HYST2477	19	glycoprotein	alpha-1-B
645922	9606	S100A7L2	S100a7b	1	calcium	S100
645927	9606	MCFD2P1	C6orf44|MCFD2L|NUCB2-L|dJ153G14.2	6	coagulation	multiple
645930	9606	HMGN2P31	-	9	mobility	high
645931	9606	FEN1P1	FENL1	1	structure-specific	flap
645937	9606	LOC645937	-	9	finger	zinc
645938	9606	LOC645938	-	X	protein	capping
645939	9606	PRKRIRP8	-	1	interferon-inducible	protein-kinase,
645940	9606	HNRNPA1P32	-	10	nuclear	heterogeneous
645949	9606	LOC645949	-	2	LOC645949	uncharacterized
645950	9606	HNRNPA1P1	HNRPA1P1|b34I8.2|hnRNPA1-Lp	6	nuclear	heterogeneous
645954	9606	SVILP1	-	10	pseudogene	supervillin
645957	9606	RPS3P7	RPS3_3_1501	16	protein	ribosomal
645958	9606	RPS18P9	RPS18_6_767	6	protein	ribosomal
645960	9606	LOC645960	-	8	protein	ribosomal
645961	9606	SPATA31C2	FAM75C2	9	subfamily	SPATA31
645962	9606	RPL23AP20	RPL23A_6_188	1	protein	ribosomal
645965	9606	LOC645965	-	1	differentiation-related	adipose
645967	9606	LOC645967	-	6	LOC645967	uncharacterized
645968	9606	RPS3AP25	RPS3A_9_820	7	protein	ribosomal
645969	9606	LOC645969	-	9	T	selenoprotein
645973	9606	ATP5F1P2	-	7	synthase,	ATP
645974	9606	PABPC1L2B	RBM32B	X	binding	poly(A)
645978	9606	LOC645978	-	2	ceramidase	alkaline
645979	9606	RPS26P31	RPS26_8_840	7	protein	ribosomal
645980	9606	CFL1P4	CFLL4|CFLP4	1	1	cofilin
645984	9606	LOC645984	-	10	LOC645984	uncharacterized
645993	9606	RPL31P57	RPL31_21_1570	17	protein	ribosomal
645996	9606	NAP1L6	-	X	assembly	nucleosome
645998	9606	RPL10AP5	RPL10A_2_189	1	protein	ribosomal
646000	9606	SLC35G4	AMAC1L1|SLC35G4P	18	carrier	solute
646012	9606	LOC646012	-	5	kinase	aurora
646013	9606	RPS17P3	RPS17B|RPS17L2|RPS17_7_1537	17	protein	ribosomal
646014	9606	LOC646014	-	17	LOC646014	uncharacterized
646016	9606	YWHAZP8	-	X	3-monooxygenase/tryptophan	tyrosine
646019	9606	CBY3	-	5	homolog	chibby
646023	9606	ADORA2A-AS1	C22orf45	22	antisense	ADORA2A
646024	9606	RAET1K	-	6	acid	retinoic
646029	9606	LOC646029	-	11	LOC646029	uncharacterized
646030	9606	LOC646030	-	17	repeat-containing	leucine-rich
646034	9606	LOC646034	-	10	LOC646034	uncharacterized
646044	9606	LOC646044	-	18	stranded	single
646049	9606	HMGN2P20	-	2	mobility	high
646050	9606	LOC646050	-	2	interactor,	axin
646052	9606	SLC20A1P3	-	15	carrier	solute
646058	9606	LOC646058	-	5	4	chromosome
646065	9606	PMM2P2	-	18	2	phosphomannomutase
646066	9606	LOC646066	-	5	RNA	TAF11
646070	9606	CICP18	-	6	transcriptional	capicua
646071	9606	LOC646071	-	15	and	disintegrin
646074	9606	POM121L10P	-	22	transmembrane	POM121
646077	9606	RPL29P23	RPL29_11_1134	11	protein	ribosomal
646080	9606	RAB11FIP1P1	-	X	family	RAB11
646083	9606	PA2G4P6	PA2G4L3	9	2G4	proliferation-associated
646085	9606	PSMC1P7	-	3	(prosome,	proteasome
646086	9606	WDR45BP1	WDR45LP1	17	repeat	WD
646087	9606	IMP3P1	-	9	pseudogene	IMP3
646090	9606	RHPN2P1	-	15	Rho	rhophilin,
646093	9606	RPS8P7	RPS8_3_645	5	protein	ribosomal
646096	9606	CHEK2P2	-	15	kinase	checkpoint
646103	9606	LOC646103	-	5	RNA	TAF11
646104	9606	RPL32P16	RPL32_7_768	6	protein	ribosomal
646108	9606	RPS7P14	RPS7_5_1787	X	protein	ribosomal
646112	9606	LOC646112	-	11	recognition	origin
646113	9606	LINC00643	-	14	intergenic	long
646114	9606	AKAP8P1	-	9	kinase	A
646119	9606	RPS8P4	RPS8_2_1103	10	protein	ribosomal
646120	9606	LOC646120	-	11	transcription	Spi-C
646127	9606	LOC646127	-	X	repeat-binding	telomeric
646140	9606	LOC646140	-	16	protein	ribosomal
646161	9606	RPL26P21	RPL26_11_785	7	protein	ribosomal
646164	9606	DDX39AP1	-	13	(Asp-Glu-Ala-Asp)	DEAD
646168	9606	LINC01330	-	3	intergenic	long
646171	9606	EIF4A2P1	-	18	translation	eukaryotic
646174	9606	C16orf90	-	16	16	chromosome
646175	9606	RPL36AP48	RPL36A_23_1571	17	protein	ribosomal
646177	9606	SPATA31E2P	FAM75E2P	15	subfamily	SPATA31
646179	9606	LOC646179	-	2	unknown	hCG2045614
646189	9606	RPL18AP13	RPL18A_8_1622	19	protein	ribosomal
646192	9606	NOP56P1	NOL5B|NOL5BP|NOP56-L|dJ207F6.1	6	ribonucleoprotein	NOP56
646193	9606	TRAPPC13P1	-	X	protein	trafficking
646195	9606	RPS28P7	RPS28_3_1160	11	protein	ribosomal
646196	9606	SMARCE1P6	-	2	related,	SWI/SNF
646197	9606	LOC646197	-	8	shock	heat
646201	9606	BASP1P1	-	13	abundant,	brain
646202	9606	TLK2P1	TLK2ps1	17	kinase	tousled-like
646203	9606	LOC646203	-	18	turnover	mRNA
646208	9606	NUS1P2	-	13	undecaprenyl	nuclear
646213	9606	SS18L2P1	-	10	sarcoma	synovial
646214	9606	LOC646214	-	15	protein	p21
646216	9606	LOC646216	-	22	protein	ribosomal
646218	9606	PRDX2P2	-	10	2	peroxiredoxin
646227	9606	LOC646227	-	5	phosphoprotein	cAMP-regulated
646231	9606	AGPAT5P1	-	Y	O-acyltransferase	1-acylglycerol-3-phosphate
646233	9606	RPS27P10	RPS27_2_322	2	protein	ribosomal
646241	9606	LOC646241	-	5	LOC646241	uncharacterized
646243	9606	CXADRP2	-	15	virus	coxsackie
646249	9606	PCED1CP	-	2	domain	PC-esterase
646255	9606	RPL19P16	RPL19_5_1105	10	protein	ribosomal
646260	9606	SAR1AP1	SAR1P1|SARAP|SARAP1|dJ88J8.3|hsSARA-p	6	homolog	SAR1
646262	9606	LACTBL1	-	1	beta-like	lactamase,
646268	9606	LOC646268	-	1	ncRNA	hCG1654703
646269	9606	RPS4XP8	RPS4P8|RPS4X_5_772	6	protein	ribosomal
646270	9606	ELL2P1	-	1	factor,	elongation
646273	9606	HSPD1P15	HSPD1-15P	5	shock	heat
646274	9606	LOC646274	-	6	2	stathmin
646278	9606	PDCD6IPP2	-	15	pseudogene	PDCD6IP
646282	9606	AZGP1P1	-	7	1,	alpha-2-glycoprotein
646294	9606	RPS2P29	RPS2_9_695	6	protein	ribosomal
646300	9606	COL6A4P2	COL6A4	3	type	collagen,
646309	9606	NAMPTP1	NAMPTL|PBEF2|bA92J19.4	10	phosphoribosyltransferase	nicotinamide
646316	9606	TERF1P3	-	4	repeat	telomeric
646324	9606	LINC00607	-	2	intergenic	long
646330	9606	BTBD6P1	-	1	(POZ)	BTB
646346	9606	RPL7P58	-	X	protein	ribosomal
646347	9606	LOC646347	-	1	synthase	spermine
646348	9606	ARL6IP1P2	-	10	factor-like	ADP-ribosylation
646358	9606	LOC646358	-	15	(Hsp40)	DnaJ
646359	9606	TERF1P2	-	18	repeat	telomeric
646360	9606	TMEM161BP1	-	10	protein	transmembrane
646362	9606	FTH1P13	FTHL13|FTHP3	14	heavy	ferritin,
646366	9606	MAS1LP1	MAS1LP	6	pseudogene	MAS1L
646370	9606	IGHV1OR15-3	IGHV1OR153	15	heavy	immunoglobulin
646377	9606	LOC646377	-	1	and	pyrin
646378	9606	DDX18P5	-	11	(Asp-Glu-Ala-Asp)	DEAD
646379	9606	IGHV1OR15-4	IGHV1OR154	15	heavy	immunoglobulin
646382	9606	DPPA5P1	-	19	pluripotency	developmental
646383	9606	LOC646383	-	11	LOC646383	uncharacterized
646388	9606	LOC646388	-	11	finger,	zinc
646390	9606	IRX1P1	-	13	homeobox	iroquois
646392	9606	NIP7P2	-	3	nucleolar	NIP7,
646396	9606	REREP3	-	15	acid	arginine-glutamic
646405	9606	TPTE2P1	-	13	phosphoinositide	transmembrane
646408	9606	LOC646408	-	22	9	chromosome
646409	9606	DGAT2L7P	DGAT2L7	7	O-acyltransferase	diacylglycerol
646417	9606	RPL29P5	RPL29_2_63	1	protein	ribosomal
646424	9606	SPINK8	-	3	peptidase	serine
646430	9606	LOC646430	-	1	P	amyloid
646433	9606	RPL32P19	RPL32_10_878	8	protein	ribosomal
646440	9606	CCT3P1	CCT3-1P	8	containing	chaperonin
646442	9606	SNX19P3	-	18	nexin	sorting
646446	9606	RPL27P2	RPL27_1_105	1	protein	ribosomal
646450	9606	ARIH2OS	C3orf71	3	homolog	ariadne
646457	9606	C19orf67	-	19	19	chromosome
646463	9606	UBE2HP1	UBE2HP	8	enzyme	ubiquitin-conjugating
646467	9606	CNN2P1	-	22	2	calponin
646471	9606	LOC646471	-	1	LOC646471	uncharacterized
646476	9606	RPL7AP39	RPL7A_12_828	7	protein	ribosomal
646479	9606	ADAM24P	ADAM24	8	metallopeptidase	ADAM
646480	9606	FABP9	PERF|PERF15|T-FABP	8	acid	fatty
646482	9606	LOC646482	-	13	LOC646482	uncharacterized
646483	9606	RPL6P19	RPL6_14_853	7	protein	ribosomal
646484	9606	LOC646484	-	4	LOC646484	uncharacterized
646486	9606	FABP12	-	8	acid	fatty
646489	9606	RPL21P70	RPL21_4_205	2	protein	ribosomal
646498	9606	C3orf84	-	3	3	chromosome
646505	9606	CLK3P1	-	9	kinase	CDC-like
646506	9606	LOC646506	-	X	membrane	lysosomal-associated
646507	9606	SPATA31E3P	FAM75E3P	15	subfamily	SPATA31
646508	9606	FAM90A27P	-	19	with	family
646513	9606	LOC646513	-	22	unknown	VLGN1945
646517	9606	LOC646517	-	6	tumor	Wilms
646520	9606	SUCLA2P1	Em:AB014080.4|SUCLA2P	6	ligase,	succinate-CoA
646522	9606	LOC646522	-	11	LOC646522	uncharacterized
646526	9606	HMGB1P18	-	1	mobility	high
646527	9606	RPS3AP44	RPS3A_18_1305	13	protein	ribosomal
646531	9606	YBX1P2	-	7	box	Y
646532	9606	RPL19P5	RPL19_2_325	2	protein	ribosomal
646535	9606	LOC646535	-	11	ribosomal	60S
646538	9606	RPL7P10	RPL7_2_66	1	protein	ribosomal
646548	9606	LOC646548	-	14	metallopeptidase	ADAM
646555	9606	LOC646555	-	1	rich	AT
646557	9606	OSTCP3	-	19	complex	oligosaccharyltransferase
646566	9606	RPLP1P12	RPLP1_6_1670	19	protein,	ribosomal
646567	9606	OSTCP2	-	1	complex	oligosaccharyltransferase
646572	9606	CHCHD3P3	-	1	domain	coiled-coil-helix-coiled-coil-helix
646575	9606	CYP4F10P	-	19	P450,	cytochrome
646576	9606	HHIP-AS1	-	4	antisense	HHIP
646577	9606	HMGB1P16	-	X	mobility	high
646581	9606	IFNWP2	-	9	omega	interferon,
646583	9606	RPS4XP18	RPS4P18|RPS4X_10_1587	18	protein	ribosomal
646588	9606	LOC646588	-	7	LOC646588	uncharacterized
646592	9606	ZNF652P1	ZNF652P	3	finger	zinc
646595	9606	UBE2CP2	-	18	enzyme	ubiquitin-conjugating
646597	9606	CHMP1AP1	-	1	multivesicular	charged
646600	9606	IGF2BP2-AS1	C3orf65	3	antisense	IGF2BP2
646603	9606	C4orf51	-	4	4	chromosome
646609	9606	CLIC4P1	-	9	intracellular	chloride
646612	9606	EEF1A1P25	-	3	translation	eukaryotic
646614	9606	BUB3P1	-	7	mitotic	BUB3
646616	9606	LOC646616	-	5	protein	transmembrane
646619	9606	ATP5G1P3	-	3	synthase,	ATP
646620	9606	RPL3P8	RPL3_4_835	7	protein	ribosomal
646624	9606	RPL27P4	RPL27_1_28	1	protein	ribosomal
646625	9606	URAD	PRHOXNB	13	(2-oxo-4-hydroxy-4-carboxy-5-)	ureidoimidazoline
646626	9606	LOC646626	-	1	LOC646626	uncharacterized
646627	9606	LYPD8	-	1	domain	LY6/PLAUR
646629	9606	LOC646629	-	18	finger	zinc
646630	9606	CHCHD2P8	-	13	domain	coiled-coil-helix-coiled-coil-helix
646639	9606	LOC646639	-	5	of	translocase
646640	9606	TTC39DP	-	2	repeat	tetratricopeptide
646641	9606	RPL7L1P7	-	3	protein	ribosomal
646643	9606	SBK2	SGK069	19	domain	SH3
646644	9606	LOC646644	-	2	homolog,	LLP
646652	9606	LOC646652	-	5	membrane	integral
646658	9606	SYNDIG1L	CAPUCIN|DSPC1|IFITMD4|TMEM90A	14	differentiation	synapse
646660	9606	RPS20P26	RPS20_11_1143	11	protein	ribosomal
646663	9606	RFPL4AP1	-	19	finger	ret
646665	9606	LOC646665	-	15	A6	golgin
646666	9606	LOC646666	-	19	A-I	apolipoprotein
646670	9606	LOC646670	-	15	LOC646670	uncharacterized
646672	9606	RPL15P20	RPL15_7_1476	16	protein	ribosomal
646674	9606	LOC646674	-	2	stranded	single
646685	9606	RPL23AP41	RPL23A_18_409	3	protein	ribosomal
646688	9606	RPL4P2	RPL4_1_115	1	protein	ribosomal
646693	9606	CNN2P10	-	1	2	calponin
646696	9606	LOC646696	-	2	MAX	MLX,
646698	9606	ZSCAN5D	ZNF495D|ZSCAN5DP	19	finger	zinc
646700	9606	LOC646700	-	9	protein	UPF0607
646701	9606	DPPA5P4	-	14	pluripotency	developmental
646702	9606	HLA-DPA2	HLA-DP2A	6	histocompatibility	major
646708	9606	LOC646708	-	8	(Hsp40)	DnaJ
646709	9606	LOC646709	-	19	dehydrogenase	NADH
646710	9606	RPL19P4	RPL19_1_276	2	protein	ribosomal
646719	9606	NIPBL-AS1	NIPBL-AS	5	antisense	NIPBL
646721	9606	FAM60DP	-	8	with	family
646723	9606	KRT18P31	-	5	18	keratin
646730	9606	LOC646730	-	3	LOC646730	uncharacterized
646736	9606	LOC646736	-	2	LOC646736	uncharacterized
646737	9606	RPS14P6	RPS14_3_529	4	protein	ribosomal
646743	9606	LOC646743	-	2	LOC646743	uncharacterized
646745	9606	LOC646745	-	7	transcription	general
646748	9606	FLJ42022	-	15	LOC646748	uncharacterized
646753	9606	RPS26P2	RPS26_19_971|bA98O11.1	9	protein	ribosomal
646754	9606	TRIM64C	-	11	motif	tripartite
646755	9606	MFAP1P1	-	13	protein	microfibrillar-associated
646758	9606	PTPN2P2	-	13	tyrosine	protein
646759	9606	UBTFL7	-	11	binding	upstream
646762	9606	LOC646762	-	7	LOC646762	uncharacterized
646766	9606	RPL35P2	RPL35_1_683	6	protein	ribosomal
646767	9606	LOC646767	-	7	LOC646767	uncharacterized
646770	9606	TRIM77BP	-	11	motif	tripartite
646778	9606	LOC646778	-	18	LOC646778	uncharacterized
646780	9606	PHKA1P1	-	1	kinase,	phosphorylase
646784	9606	RPL5P6	RPL5_2_71	1	protein	ribosomal
646785	9606	RPS10P13	RPS10_8_685	6	protein	ribosomal
646787	9606	RPL31P37	RPL31_18_839	7	protein	ribosomal
646791	9606	ANP32BP1	-	15	(leucine-rich)	acidic
646794	9606	LOC646794	-	2	ESCRT-II	SNF8,
646797	9606	LOC646797	-	11	aminopeptidase	glutamyl
646799	9606	ZAR1L	Z3CXXC7|ZAR2	13	arrest	zygote
646801	9606	LOC646801	-	11	kinase	pantothenate
646802	9606	CYP4F62P	CYP4F43P	2	P450,	cytochrome
646804	9606	LOC646804	-	1	DNA	alkylated
646808	9606	LAGE3P1	-	9	antigen	L
646813	9606	LOC646813	-	11	(Asp-Glu-Ala-His)	DEAH
646817	9606	SETSIP	SETP18	1	protein	SET-like
646819	9606	RPS15AP19	RPS15A_5_686	6	protein	ribosomal
646820	9606	RPL19P19	RPL19_8_1674	19	protein	ribosomal
646828	9606	LOC646828	-	16	anhydrase	carbonic
646836	9606	LOC646836	-	2	LOC646836	uncharacterized
646837	9606	EEF1GP1	-	7	translation	eukaryotic
646839	9606	TPM3P8	-	2	3	tropomyosin
646849	9606	NPM1P28	-	3	1	nucleophosmin
646851	9606	FAM227A	-	22	with	family
646853	9606	LOC646853	-	15	chromosomal	non-histone
646862	9606	RNF225	-	19	finger	ring
646864	9606	ZNF723P	ZNF723	19	finger	zinc
646865	9606	LOC646865	-	4	protein-coding	hCG1814936
646870	9606	LOC646870	-	1	protein	centrosomal
646873	9606	LOC646873	-	7	homolog	slowmo
646875	9606	RPL12P2	RPL12_6_688|dJ441G21.1	6	protein	ribosomal
646877	9606	GAPDHP34	-	13	3	glyceraldehyde
646879	9606	ARL2BPP3	-	13	factor-like	ADP-ribosylation
646884	9606	RPL29P28	RPL29_17_1307	13	protein	ribosomal
646890	9606	LOC646890	-	4	interactor,	axin
646891	9606	SDCCAG3P2	-	1	defined	serologically
646892	9606	SH2D7	-	15	domain	SH2
646898	9606	RPL12P40	RPL12_19_1596	18	protein	ribosomal
646903	9606	LOC646903	-	3	LOC646903	uncharacterized
646909	9606	RPL17P33	RPL17_19_888	8	protein	ribosomal
646910	9606	HSPD1P9	HSPD1-14P	13	shock	heat
646912	9606	RPL7P52	RPL7_21_1751	22	protein	ribosomal
646913	9606	SEPT7P3	-	7	7	septin
646915	9606	ZNF806	-	2	finger	zinc
646927	9606	LOC646927	-	22	LOC646927	uncharacterized
646929	9606	ANKRD26P2	-	13	repeat	ankyrin
646934	9606	LOC646934	-	15	A6	golgin
646936	9606	CTBP2P5	-	2	binding	C-terminal
646938	9606	LOC646938	-	15	domain	TBC1
646942	9606	RPS10P14	RPS10_9_805	7	protein	ribosomal
646949	9606	RPL23P6	RPL23_1_689	6	protein	ribosomal
646951	9606	FAM188B2	C3orf76|CLRN1	3	with	family
646954	9606	YWHAQP4	-	4	pseudogene	YWHAQ
646956	9606	HNRNPCP3	-	15	nuclear	heterogeneous
646960	9606	PRSS56	MCOP6	2	serine,	protease,
646962	9606	HRCT1	LGLL338|PRO537|UNQ338	9	rich	histidine
646966	9606	RPL26P16	RPL26_3_532	4	protein	ribosomal
646970	9606	LOC646970	-	1	5	chromosome
646976	9606	LOC646976	-	1	LOC646976	uncharacterized
646981	9606	PTPN2P1	PTPN2P|PTPTP1	1	tyrosine	protein
646982	9606	LINC00598	TTL	13	intergenic	long
646985	9606	RPS12P25	RPS12_14_1457	15	protein	ribosomal
646993	9606	HMGB3P24	-	9	mobility	high
646995	9606	LOC646995	-	4	motif-containing	tripartite
646996	9606	RAB42P1	RAB42|RAB42P	14	member	RAB42,
646999	9606	LOC646999	-	7	1	akirin
647000	9606	TUBBP2	-	13	beta	tubulin,
647001	9606	GAPDHP35	-	16	3	glyceraldehyde
647002	9606	LOC647002	-	2	delta	isopentenyl-diphosphate
647009	9606	RWDD4P2	FAM28CP	7	domain	RWD
647012	9606	YY1P2	-	2	transcription	YY1
647013	9606	KCTD9P3	-	9	channel	potassium
647015	9606	CDC37P2	-	16	division	cell
647016	9606	EIF2S2P7	-	2	translation	eukaryotic
647020	9606	LOC647020	-	15	LOC647020	uncharacterized
647024	9606	C6orf132	bA7K24.2	6	6	chromosome
647030	9606	EEF1B2P6	-	7	translation	eukaryotic
647033	9606	PA2G4P4	PA2G4L1	3	2G4	proliferation-associated
647034	9606	RPS14P10	RPS14_7_847	7	protein	ribosomal
647042	9606	GOLGA6L10	GOLGA6L18	15	A6	golgin
647044	9606	FAM220BP	C9orf51	9	SIPAR-like	Putative
647047	9606	TCP1P1	CCT1-3P|TCP1L1	7	1	t-complex
647051	9606	YWHABP1	-	9	3-monooxygenase/tryptophan	tyrosine
647060	9606	SPATA31A1	C9orf36|C9orf36A|FAM75A1|FAM75A2|SPATA31A2	9	subfamily	SPATA31
647070	9606	LOC647070	-	1	LOC647070	uncharacterized
647076	9606	BRD7P2	-	3	containing	bromodomain
647077	9606	LOC647077	-	2	protein	ribosomal
647081	9606	SDHDP2	-	7	dehydrogenase	succinate
647085	9606	PPIAP25	-	13	isomerase	peptidylprolyl
647086	9606	LOC647086	-	16	20	chromosome
647087	9606	C7orf73	PL-5283	7	7	chromosome
647094	9606	RPLP0P11	RPLP0_4_1600	18	protein,	ribosomal
647099	9606	RPL23AP42	RPL23A_13_431	3	protein	ribosomal
647102	9606	ELK1P1	-	7	member	ELK1,
647107	9606	LINC01192	CT64	3	intergenic	long
647112	9606	RPL27P6	RPL27_2_233	2	protein	ribosomal
647115	9606	FLJ36848	-	2	LOC647115	uncharacterized
647121	9606	EMBP1	-	1	pseudogene	embigin
647123	9606	UQCRFS1P2	-	7	c	ubiquinol-cytochrome
647132	9606	LOC647132	-	1	(Asp-Glu-Ala-His)	DEAH
647135	9606	SRGAP2B	SRGAP2L|SRGAP2P2	1	Rho	SLIT-ROBO
647144	9606	ABHD17AP8	FAM108A9P	16	domain	abhydrolase
647145	9606	LOC647145	-	7	splicing	serine/arginine-rich
647150	9606	LOC647150	-	1	cassette,	ATP-binding
647155	9606	RPS15AP20	RPS15A_10_701	6	protein	ribosomal
647156	9606	ACTR3BP3	-	16	pseudogene	ACTR3B
647158	9606	RPSAP33	RPSA_10_433	3	protein	ribosomal
647162	9606	KRT18P33	-	2	18	keratin
647166	9606	LINC00371	LINC00372	13	intergenic	long
647167	9606	EEF1A1P14	EEF1AL12	1	translation	eukaryotic
647169	9606	GSTA12P	GSTAP5	6	S-transferase	glutathione
647174	9606	SERPINE3	-	13	peptidase	serpin
647175	9606	GSTA11P	GSTAP3	6	S-transferase	glutathione
647177	9606	GSTA10P	GSTAP2	6	S-transferase	glutathione
647187	9606	IGHV3OR16-6	IGHV3OR166	16	heavy	immunoglobulin
647190	9606	RPS16P5	RPS16_3_702	6	protein	ribosomal
647195	9606	PRR13P1	-	1	rich	proline
647201	9606	RPL23AP16	RPL23A_4_145	1	protein	ribosomal
647208	9606	LOC647208	-	16	phosphatase	protein
647211	9606	LOC647211	-	16	pseudo	rhophilin-2-like
647215	9606	MROH3P	C1orf81	1	heat-like	maestro
647219	9606	ASCL5	bHLHa47	1	family	achaete-scute
647236	9606	RPL39P15	RPL39_5_239	2	protein	ribosomal
647249	9606	GAPDHP36	-	3	3	glyceraldehyde
647253	9606	LOC647253	-	3	finger	ring
647264	9606	LOC647264	-	13	protein	keratin-associated
647265	9606	CYP2AB1P	-	3	P450,	cytochrome
647275	9606	LOC647275	-	2	nucleoside	purine
647276	9606	RPL4P4	RPL4_2_444	3	protein	ribosomal
647285	9606	RPL29P9	RPL29_4_447	3	protein	ribosomal
647286	9606	RD3L	TDRD9-AS1|TDRD9AS1	14	degeneration	retinal
647288	9606	CTAGE11P	-	13	family,	CTAGE
647298	9606	HSPD1P8	HSPD1-12P	13	shock	heat
647299	9606	LOC647299	-	3	1	enolase-phosphatase
647302	9606	LSM3P3	-	2	pseudogene	LSM3
647307	9606	PEBP1P2	-	2	binding	phosphatidylethanolamine
647309	9606	GMNC	GEMC1	3	coiled-coil	geminin
647310	9606	TEX22	-	14	expressed	testis
647317	9606	GYG1P2	-	13	1	glycogenin
647319	9606	VEZF1P1	VEZF1L1|ZNF161L1	3	endothelial	vascular
647323	9606	LOC647323	-	3	LOC647323	uncharacterized
647415	9606	ALG1L5P	-	7	glycosylation	asparagine-linked
647436	9606	RPL5P1	RPL5_12_1419	15	protein	ribosomal
647476	9606	FRG2EP	-	20	region	FSHD
647481	9606	LOC647481	-	1	with	family
647503	9606	LOC647503	-	12	non-histone	NHP2
647507	9606	CNN2P4	CNN2P5	9	2	calponin
647532	9606	FARSBP1	-	10	synthetase,	phenylalanyl-tRNA
647569	9606	PFN1P12	-	1	1	profilin
647589	9606	ANHX	-	12	homeobox	anomalous
647654	9606	LOC647654	-	20	division	cell
647662	9606	FLJ40039	-	12	LOC647662	uncharacterized
647696	9606	CDC27P1	-	2	division	cell
647859	9606	LOC647859	-	5	pseudogene	occludin
647946	9606	LINC00669	-	18	intergenic	long
647979	9606	LINC00657	-	20	intergenic	long
647983	9606	LOC647983	-	18	LOC647983	uncharacterized
647996	9606	LOC647996	-	2	9	chromosome
648000	9606	RPL7P23	RPL7_7_580	5	protein	ribosomal
648044	9606	LOC648044	-	19	nucleotide	guanine
648149	9606	LOC648149	-	2	LOC648149	uncharacterized
648217	9606	RPL37P23	RPL37_8_1665	19	protein	ribosomal
648262	9606	CICP26	-	1	transcriptional	capicua
648283	9606	TERF1P4	-	X	repeat	telomeric
648294	9606	RPL23AP57	RPL23A_24_958	9	protein	ribosomal
648315	9606	VN2R9P	-	11	2	vomeronasal
648343	9606	RPS29P9	RPS29_6_317	2	protein	ribosomal
648359	9606	ABHD17AP3	FAM108A4|FAM108A4P	1	domain	abhydrolase
648442	9606	LOC648442	-	7	translation	eukaryotic
648532	9606	NRBF2P1	-	18	receptor	nuclear
648570	9606	LOC648570	-	9	LOC648570	uncharacterized
648630	9606	TSSK5P	TSSK5P1|TSSK5P2|TSSKps1	8	serine	testis-specific
648691	9606	LL22NC03-63E9.3	-	22	LOC648691	uncharacterized
648729	9606	RPS15AP24	RPS15A_13_889	8	protein	ribosomal
648740	9606	ACTG1P4	ACTGP4	1	gamma	actin
648771	9606	LOC648771	-	22	ribosomal	60S
648774	9606	LOC648774	-	16	kinase	polo-like
648791	9606	PPP1R3G	-	6	phosphatase	protein
648809	9606	EFTUD1P1	FAM42B|HsT19321	15	factor	elongation
648822	9606	HMGN2P18	-	1	mobility	high
648927	9606	LOC648927	-	X	acetyltransferase	K(lysine)
648934	9606	LOC648934	-	6	synthase,	citrate
648947	9606	AKR1C7P	-	10	reductase	aldo-keto
648980	9606	BCRP5	BCRL5	22	cluster	breakpoint
648987	9606	LOC648987	-	5	LOC648987	uncharacterized
648999	9606	LOC648999	-	X	LOC648999	uncharacterized
649024	9606	LOC649024	-	3	synthase	citrate
649133	9606	LOC649133	-	11	LOC649133	uncharacterized
649137	9606	ZSCAN5C	ZNF495C	19	finger	zinc
649159	9606	LINC00273	NCRNA00273|TOP	16	intergenic	long
649166	9606	LOC649166	-	9	translation	eukaryotic
649179	9606	PRAMENP	PRAMEF24P|PRAMEL	22	N-terminal-like,	PRAME
649186	9606	VN2R17P	-	19	2	vomeronasal
649201	9606	LOC649201	-	X	antigen	paraneoplastic
649238	9606	LOC649238	-	X	paraneoplastic	putative
649264	9606	CES5AP1	-	22	5A	carboxylesterase
649288	9606	AK4P6	-	4	kinase	adenylate
649294	9606	LOC649294	-	8	LOC649294	uncharacterized
649299	9606	RPL36AP51	RPL36A_25_1638	19	protein	ribosomal
649305	9606	LOC649305	-	8	LOC649305	uncharacterized
649324	9606	LOC649324	-	1	family	PRAME
649330	9606	HNRNPCL3	HNRNPCL2	1	nuclear	heterogeneous
649352	9606	LOC649352	-	8	carboxyl-terminal	ubiquitin
649395	9606	YWHAEP1	-	7	3-monooxygenase/tryptophan	tyrosine
649446	9606	DLGAP1-AS1	HsT914	18	antisense	DLGAP1
649458	9606	MPTX1	MPTX	1	pentraxin	mucosal
649489	9606	PPP1R2P5	-	2	phosphatase	protein
649620	9606	LOC649620	-	14	division	cell
649783	9606	LOC649783	-	6	class	HLA
649873	9606	LOC649873	-	17	isomerase	peptidylprolyl
649925	9606	SETP16	-	11	pseudogene	SET
649935	9606	LOC649935	-	2	protein	UPF0607
649946	9606	RPL23AP64	RPL23A_25_1182	11	protein	ribosomal
650024	9606	LOC650024	-	X	antigen	cancer/testis
650059	9606	RPL21P82	RPL21_34_997	9	protein	ribosomal
650172	9606	CCT4P1	CCT4-2P	7	containing	chaperonin
650181	9606	LOC650181	-	X	antioxidant	AhpC/TSA
650226	9606	LOC650226	-	7	repeat	ankyrin
650236	9606	LOC650236	-	1	family	PRAME
650293	9606	LOC650293	-	4	transmembrane	seven
650368	9606	TSSC2	-	11	suppressing	tumor
650474	9606	TPSP2	-	16	pseudogene	tryptase
650560	9606	DDX3P3	DDX3YP3	4	(Asp-Glu-Ala-Asp)	DEAD
